web-scraper-order,web-scraper-start-url,nama_produk,harga_produk
"1756425688-1","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Fiesta Bakso Sapi Ready To Go 60g","Rp 9.500"
"1756425688-2","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Fiesta Sausage Ready To Go Bratwurst 65G","Rp 8.600"
"1756425688-3","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Japota Potato Chips Happy Honey Butter 120G","Rp 15.900"
"1756425688-4","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Indomaret Abon Ayam 80G","Rp 13.500"
"1756425688-5","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Fiesta Sausage Ready To Go Hickory Sauce 60g","Rp 9.500"
"1756425688-6","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Indofood Sosis Eat Keju 65G","Rp 8.900"
"1756425688-7","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Indofood Sosis Eat Original 65G","Rp 8.900"
"1756425688-8","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Indofood Sosis Eat Pedas 65G","Rp 8.900"
"1756425688-9","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Lay's Snack Potato Chips Daging Sapi bakar 64G","Rp 13.800"
"1756425688-10","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Lay's Snack Potato Chips Rumput Laut 64G","Rp 13.800"
"1756425688-11","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Lay's Snack Potato Chips Ayam Goreng Bawang 64G","Rp 13.800"
"1756425688-12","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Lay's Snack Potato Chips Pedas Manis 64G","Rp 13.800"
"1756425688-13","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Chitato Lite Snack Potato Cheese 110G","Rp 27.900"
"1756425688-14","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Chitato Lite Snack Potato 110G","Rp 27.900"
"1756425688-15","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","So Good Sosis Jepang Keju Saus Pedas 55G","Rp 8.900"
"1756425688-16","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","So Good Sosis Jepang Hot 55G","Rp 8.900"
"1756425688-17","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Bakso 55G","Rp 8.900"
"1756425688-18","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Chitato Snack Potato Chips Rose Tteokbokki 68G","Rp 11.900"
"1756425688-19","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Japota Potato Chips Original 68G","Rp 10.900"
"1756425688-20","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Chitato Lite Snack Potato Kimchi 65G","Rp 11.900"
"1756425688-21","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Fiesta Sausage Ready To Go Spicy Korean Sauce 60G","Rp 8.600"
"1756425688-22","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mister Potato Snack Crisps Barbeque 106G","Rp 22.900"
"1756425688-23","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mister Potato Snack Crisps Original 106G","Rp 22.900"
"1756425688-24","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mister Potato Snack Crisps Sour Cream & Onion 106G","Rp 22.900"
"1756425688-25","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Pringles Potato Crisps Smokey Grilled Steak 102G","Rp 28.900"
"1756425688-26","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Japota Potato Chips Umami.Japanese Seaweed 120g","Rp 15.900"
"1756425688-27","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Fiesta Sausage Ready To Go Cheesy Melts 65G","Rp 8.600"
"1756425688-28","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Piattos Snack Kentang Sambal Geprek 120G","Rp 15.800"
"1756425688-29","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kimbo Probites Original 60G","Rp 8.900"
"1756425688-30","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Chitato Lite Snack Potato Ayam Bawang 68G","Rp 11.900"
"1756425688-31","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","So Nice Sosis Siap Makan Premium Hot 55G","Rp 8.600"
"1756425688-32","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Japota Potato Chips Beef Bbq 68G","Rp 10.900"
"1756425688-33","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Fiesta Bakso Ayam Ready To Go Keju 60G","Rp 8.600"
"1756425688-34","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Fiesta Bakso Ayam Ready To Go Bbq 60G","Rp 8.600"
"1756425688-35","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Fiesta Siomay Ayam Ready To Go 54G","Rp 8.600"
"1756425688-36","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Yopokki Halal Spicy Topokki 140G","Rp 26.500"
"1756425688-37","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Yopokki Halal Original Topokki 140G","Rp 26.500"
"1756425688-38","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","So Nice Sosis Siap Makan Premium Smoked Bratwurst 60G","Rp 8.600"
"1756425688-39","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","So Nice Sosis Siap Makan Premium Keju 60G","Rp 8.600"
"1756425688-40","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","So Nice Sosis Siap Makan Premium Original 60G","Rp 8.600"
"1756425688-41","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Potabee Snack Potato Chips Spicy Bbq 68G","Rp 10.900"
"1756425688-42","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Chitato Lite Snack Potato Aburi Seaweed 65G","Rp 11.900"
"1756425688-43","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mujigae Rapokki Spicy 260G","Rp 19.900"
"1756425688-44","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kimbo Probites American Cheese 50G","Rp 8.900"
"1756425688-45","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Fiesta Sausage Ready To Go Original 65G","Rp 8.600"
"1756425688-46","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kimbo Probites Korean 60G","Rp 8.900"
"1756425688-47","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Sosis Keju 60G","Rp 8.900"
"1756425688-48","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Sosis Hot 65G","Rp 8.900"
"1756425688-49","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Sosis Original 65G","Rp 8.900"
"1756425688-50","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Super Bubur Instant Bergizi Abon Sapi 49G","Rp 3.900"
"1756425688-51","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Bakso Keju 48G","Rp 8.900"
"1756425688-52","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Bakso Original 48G","Rp 8.900"
"1756425688-53","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mujigae Topokki 170G","Rp 21.800"
"1756425688-54","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Ratu Abon Sapi 100G","Rp 26.600"
"1756425688-55","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Sosis Gochujang 60G","Rp 8.900"
"1756425688-56","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Sosis Mini 65G","Rp 8.900"
"1756425688-57","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Kanzler Singles Bakso Hot 55G","Rp 8.900"
"1756425688-58","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mujigae Jajangmyeon 265G","Rp 21.700"
"1756425688-59","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mamasuka Topokki Korean Rice Cake Spicy 132G","Rp 20.500"
"1756425688-60","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mamasuka Sup Krim Ayam 55G","Rp 9.600"
"1756425688-61","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Indomaret Abon Sapi 100G","Rp 15.700"
"1756425688-62","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Super Bubur Instant Bergizi Ayam 45G","Rp 3.900"
"1756425688-63","https://www.klikindomaret.com/xpress/category/makanan/makanan-instan/makanan-siap-saji","Mamasuka Topokki Korean Rice Cake Original 132G","Rp 20.500"
